timestamp,temperature,humidity,is_holiday,is_weekend,industrial_consumption,commercial_consumption,residential_consumption,total_consumption,anomaly_label
2024-01-01 00:00:00,3.3,88.39,1,0,84.77,19.22,83.83,187.81,0
2024-01-01 01:00:00,0.07,86.13,1,0,85.4,15.61,101.36,202.37,0
2024-01-01 02:00:00,0.81,92.39,1,0,88.81,18.2,94.11,201.11,0
2024-01-01 03:00:00,3.0,85.73,1,0,84.54,13.63,87.01,185.18,0
2024-01-01 04:00:00,1.73,89.06,1,0,82.4,22.84,93.76,199.0,0
2024-01-01 05:00:00,1.27,87.43,1,0,84.03,20.18,95.58,199.79,0
2024-01-01 06:00:00,3.57,84.9,1,0,89.03,13.78,94.93,197.74,0
2024-01-01 07:00:00,4.86,81.1,1,0,92.52,15.29,94.28,202.09,0
2024-01-01 08:00:00,5.05,77.41,1,0,101.61,14.67,91.7,207.97,0
2024-01-01 09:00:00,6.44,72.95,1,0,105.35,17.76,82.63,205.75,0
2024-01-01 10:00:00,6.98,69.24,1,0,99.41,21.25,66.74,187.4,0
2024-01-01 11:00:00,7.56,64.52,1,0,99.94,23.41,62.12,185.48,0
2024-01-01 12:00:00,8.58,61.49,1,0,98.0,18.57,57.41,173.97,0
2024-01-01 13:00:00,7.87,58.15,1,0,98.19,20.44,67.16,185.8,0
2024-01-01 14:00:00,7.2,56.84,1,0,107.32,24.71,65.05,197.08,0
2024-01-01 15:00:00,7.07,56.95,1,0,100.05,24.85,75.02,199.92,0
2024-01-01 16:00:00,6.38,58.49,1,0,100.39,18.57,66.71,185.67,0
2024-01-01 17:00:00,6.18,60.2,1,0,94.42,21.18,96.47,212.06,0
2024-01-01 18:00:00,4.97,62.7,1,0,100.64,14.19,102.02,216.85,0
2024-01-01 19:00:00,3.29,67.29,1,0,92.63,15.11,109.77,217.51,0
2024-01-01 20:00:00,3.02,70.29,1,0,94.44,13.13,106.24,213.81,0
2024-01-01 21:00:00,1.7,76.11,1,0,92.52,15.63,113.41,221.57,0
2024-01-01 22:00:00,0.53,80.33,1,0,89.49,22.01,123.89,235.39,0
2024-01-01 23:00:00,-1.28,83.64,1,0,89.32,18.0,105.01,212.33,0
2024-01-02 00:00:00,-2.48,86.47,0,0,149.71,74.25,107.28,331.23,0
2024-01-02 01:00:00,-3.1,89.22,0,0,150.42,74.78,105.76,330.96,0
2024-01-02 02:00:00,-4.01,91.33,0,0,155.06,77.26,111.29,343.62,0
2024-01-02 03:00:00,-3.88,93.12,0,0,154.28,75.73,109.82,339.83,0
2024-01-02 04:00:00,-3.85,91.71,0,0,153.01,78.05,109.63,340.69,0
2024-01-02 05:00:00,-3.36,89.86,0,0,158.11,76.63,112.17,346.92,0
2024-01-02 06:00:00,-2.7,86.28,0,0,139.37,74.25,119.9,333.52,0
2024-01-02 07:00:00,-0.77,81.67,0,0,148.15,70.17,108.42,326.75,0
2024-01-02 08:00:00,0.5,78.46,0,0,164.95,78.5,104.25,347.7,0
2024-01-02 09:00:00,1.44,73.17,0,0,162.3,82.79,101.54,346.63,0
2024-01-02 10:00:00,3.15,68.66,0,0,161.27,87.85,76.53,325.65,0
2024-01-02 11:00:00,3.94,64.8,0,0,158.12,91.3,70.11,319.54,0
2024-01-02 12:00:00,5.14,60.9,0,0,163.75,88.01,71.02,322.78,0
2024-01-02 13:00:00,5.26,58.74,0,0,168.57,96.63,72.58,337.78,0
2024-01-02 14:00:00,5.36,56.33,0,0,168.09,88.5,63.24,319.83,0
2024-01-02 15:00:00,5.73,56.7,0,0,161.98,84.42,64.88,311.29,0
2024-01-02 16:00:00,5.95,58.25,0,0,165.87,85.07,64.98,315.92,0
2024-01-02 17:00:00,5.62,59.8,0,0,170.42,73.49,86.28,330.2,0
2024-01-02 18:00:00,4.87,64.05,0,0,158.91,64.13,92.16,315.21,0
2024-01-02 19:00:00,3.81,67.23,0,0,149.36,65.73,94.03,309.11,0
2024-01-02 20:00:00,2.15,71.86,0,0,151.14,64.1,103.86,319.1,0
2024-01-02 21:00:00,0.71,77.3,0,0,150.03,71.62,113.42,335.08,0
2024-01-02 22:00:00,-0.64,81.38,0,0,153.4,68.99,111.17,333.55,0
2024-01-02 23:00:00,-1.36,84.28,0,0,144.0,68.6,95.45,308.06,0
2024-01-03 00:00:00,-2.2,86.68,0,0,145.96,73.6,106.61,326.17,0
2024-01-03 01:00:00,-3.53,91.14,0,0,152.72,74.04,105.92,332.68,0
2024-01-03 02:00:00,-3.82,92.3,0,0,143.18,78.64,101.87,323.68,0
2024-01-03 03:00:00,-4.02,92.7,0,0,153.23,79.73,111.12,344.09,0
2024-01-03 04:00:00,-3.99,91.34,0,0,151.79,80.3,110.23,342.32,0
2024-01-03 05:00:00,-3.18,89.93,0,0,152.96,75.58,107.25,335.79,0
2024-01-03 06:00:00,-1.95,86.22,0,0,148.11,77.34,113.43,338.89,0
2024-01-03 07:00:00,-0.53,81.91,0,0,152.03,68.74,110.7,331.47,0
2024-01-03 08:00:00,0.44,77.89,0,0,160.3,78.51,100.4,339.21,0
2024-01-03 09:00:00,1.69,72.55,0,0,163.33,83.77,96.61,343.7,0
2024-01-03 10:00:00,3.16,67.71,0,0,165.13,93.36,76.99,335.49,0
2024-01-03 11:00:00,4.74,64.09,0,0,161.39,93.84,73.19,328.43,0
2024-01-03 12:00:00,5.65,60.67,0,0,165.86,92.57,69.39,327.82,0
2024-01-03 13:00:00,6.43,57.86,0,0,160.41,92.63,64.69,317.73,0
2024-01-03 14:00:00,6.6,56.33,0,0,166.06,94.43,69.24,329.73,0
2024-01-03 15:00:00,6.44,55.61,0,0,171.95,85.55,65.19,322.69,0
2024-01-03 16:00:00,6.6,57.27,0,0,159.96,76.45,66.54,302.95,0
2024-01-03 17:00:00,6.6,58.1,0,0,164.9,71.87,82.12,318.88,0
2024-01-03 18:00:00,5.82,61.01,0,0,158.52,66.38,86.21,311.1,0
2024-01-03 19:00:00,5.14,64.51,0,0,146.66,63.11,97.28,307.04,0
2024-01-03 20:00:00,4.07,69.33,0,0,152.8,64.44,92.1,309.33,0
2024-01-03 21:00:00,2.58,74.68,0,0,148.27,64.72,105.17,318.15,0
2024-01-03 22:00:00,1.43,79.06,0,0,152.96,68.31,111.93,333.2,0
2024-01-03 23:00:00,0.73,83.11,0,0,151.41,66.76,92.73,310.9,0
2024-01-04 00:00:00,-0.34,86.91,0,0,149.72,75.9,89.24,314.87,0
2024-01-04 01:00:00,-0.64,87.85,0,0,145.86,74.31,94.32,314.5,0
2024-01-04 02:00:00,-2.01,89.11,0,0,152.72,74.14,103.39,330.25,0
2024-01-04 03:00:00,-1.91,89.22,0,0,151.2,73.62,103.29,328.11,0
2024-01-04 04:00:00,-1.71,88.3,0,0,143.87,75.17,100.16,319.19,0
